Главная;9500;240;О компании,Услуги,Продукты,Новости,Контакты,Каталог,Отзывы,Вакансии,Политика конфиденциальности
Услуги;4000;300;Продукты,Каталог,Прайс-лист,Отзывы,Контакты,Техподдержка,Политика конфиденциальности
Продукты;2500;120;Каталог,Прайс-лист,Отзывы,Контакты,Политика конфиденциальности
Каталог;3600;400;Продукты,Прайс-лист,Отзывы,Контакты,Техподдержка,Политика конфиденциальности
О компании;500;130;Политика конфиденциальности
Новости;200;50;Политика конфиденциальности
Контакты;500;70;Политика конфиденциальности
Отзывы;700;90;Политика конфиденциальности
Вакансии;1200;300;Политика конфиденциальности
Техподдержка;780;100;Политика конфиденциальности
Прайс-лист;3000;120;Политика конфиденциальности
Политика конфиденциальности;400;120
